song,lover
All Too Well,Jake Gyllenhaal
The Moment I Knew,Jake Gyllenhaal
Style,Harry Styles
Out of the Woods,Harry Styles
Mr. Perfectly Fine,Joe Jonas
Forever & Always,Joe Jonas
London Boy,Joe Alwyn
Dear John,John Mayer
Innocent,John Mayer
I Bet You Think About Me,Jake Gyllenhaal
Back to December,Taylor Lautner
Getaway Car,Tom Hiddleston
Gorgeous,Joe Alwyn
Hey Stephen,Stephen Barker Liles
Mine,Cory Monteith
State of Grace, Jake Gyllenhaal
We Are Never Ever Getting Back Together, Jake Gyllenhaal
Our Song,Brandon Borello
Tim McGraw,Brandon Borello
I Knew You Were Trouble,Harry Styles
Begin Again,Connor Kennedy
Enchanted,Adam Young
Teardrops On My Guitar,Andrew Hardwick
Stay Beautiful,Cory Robertson
Should've Said No,Sam Armstrong
Picture to Burn,Jordan Alford
You All Over Me,Joe Jonas
The Very First Night,Harry Styles
Last Kiss,Joe Jonas
The Last Time,Jake Gyllenhaal
invisible string,Joe Alwyn
peace,Joe Alwyn
Delicate,Joe Alwyn
King of My Heart,Joe Alwyn
Cornelia Street,Joe Alwyn
